Language/Tool,matching extensions,matching file names
Docker,dockerignore,dockerfile|compose.yml|compose.yaml|docker-compose.yml|docker-compose.yaml
CMake,cmake,cmake.txt|cmakelists.txt|cmakepresets.json
License,license,licence|license|license.md|license.txt|license-mit|license-jsbn|license.apache2|license.bsd|license.mit
Changelog,changes|changelog,changes|changelog
Readme,,readme|readme.md|readme.txt
JavaScript,js,*.js.map
CoffeeScript,coffee|litcoffee,
IcedCoffeeScript,iced|liticed,
LiveScript,ls,
ECMAScripts,es|es6|jsx,
ECMAScript Modules,mjs,
NPM,npmignore,
Linter,eslintrc|jshintrc,
JavaScript Template,jst
Embedded JavaScript Templating,ejs,
co,co,
CommonJS,cjs,
ServerSide JavaScript,sjs,
exe,exe,
bin,bin,
Compiled-C/C++,o|obj,
Compiled-Python,pyc,
Complied-Java,class,
Plain Text,txt|text|nomedia|ot|info,
LaTeX,tex|bib|sty|cls,
PDF,pdf,
Razor Webpage,cshtml|vbhtml,
XFire,tmpl,
RST,rst|ReST|reST,
Typst,typ,
Other,keep|lock|crash|manifest|vrmanifest|webmanifest|ds_store|map|ipch|vcxproj|filters|editorconfig|soln|pbxproj|xcconfig|rc|res|soln|xproj|bak|qsf|patch|cache,
Document,prn|rtf|log|edoc|epub|enc|pages|ppt|pptx|doc|docx|dotx|ott|odt|nomedia|gdoc|gslides|key|dic|aff|lex|bcc|ics|asp|aspx|bcc|msg|eml|hqx|pst|crypt14|har|p7s,
Multimedia,heif|wma|asf|wmf|emf|bmp|xps|wmv|asf|png|jpg|jpeg|svg|ico|vda|avif|stl|fbx|dae|3ds|blend|gltf|step|stp|stl|iges|igs|mp3|wav|au|snd|m4a|flac|mp2|zpl|gym|aiff|aif|aifc|mp4|mov|qt|mpg|mpeg|avi|3gp|webm|mkv|gif|psd|ai|ps|dwt|indd|srt|ssa|nfv|nfs|emf|wmf|midi|au|miniusf|wvm|gvi|cpk|film_cpk|usflib|musiclibrary|webp|eps|jfif|tif|tiff|prc|meta|maxc,
JSON,json|json5,
CSV,csv|tsv,
YAML,yaml|yml,
XML,xml,
Data,dat|data,
General Data,lst|mdb|accdb|mpp|xls|xlsx|xla|xlam|xlsm|xltx|xltm|xlt|ods|pdb|dbf|te|mud|dif|numbers|dbf|itdb|musicdb|nfi|plist,
Tool,woff|woff2|ttf|otf|eot|otf|eot|pfm|pfb|pfa|forge,
Compressed,zip|gzip|gz|tar|egg|tgz|bz|bz2,
HTML,html|htm,
CSS,css|scss|less|sass,
Python,py|py3|pyo|pyx|pyw|whl|pyd,
Python Notebook,ipynb,
C,c|h,
Java,java|iml|jar|dpj|xrb|aidl|mf|classpath,
Bash/Shell,sh|zsh|bash|profile|bashrc|zshrc,
PHP,php|twig,
C++,cpp|cxx|cc|hpp|hxx,
TypeScript,ts|tsx,
SQL,sql|sqllite|sqllite3|mysql,
C#,cs|csproj,
Ruby,rb|erb|gem|gemspec|gemfile,
Objective-C,m|mm,
Mac-iOS,nib|xib,
Rust,rs|rlib|rst,
PowerShell,psl|ps1,
Go,go,
Swift,swift,
Perl,pl,
Kotlin,kt|kts|ktm,
Lisp,el|lisp|elc,
Git,gitignore|gitkeep|gitattributes|gitconfig|gitignore_global|gitmodules,
Static Library,lib|a,
Dynamic Library,dll|dylib|def|so,*.so.*
Makefile,makefile|mk,makefile.am|makefile.in
MIME HTML,mht|mhtml,
Lua,lua,
Dart,dart,
Assembly,asm,
R,r|rmd|rd|rr|rprofile|rdata|rhistory|rproj,NAMESPACE|DESCRIPTION,
Visual Basic,vb|bas,
Matlab,M|MAT,
Groovy,groovy|gvy|gy|gsh,
Delphi,pas,
Scala,scala,
Elixir,ex,
Haskell,hs|lhs,
GDScript,gd,
Solidity,sol,
Clojure,cljs|cljc|clj,
Julia,jl,
Erlang,erl,
F#,fsx,
Fortran,f[hi]|[fF]|[fF]77|[fF]9[0-9]|fortran|forth,
Forth,4th,
Vala,vala,
Zig,zig,
Ada,ad[abs],
OCaml,aug|mli|ml|aug,
Cobol,COB|CBL|PCO|FD|SEL|CPY|cob|cbl|pco|fd|sel|cpy,
SAS,sas,
Crystal,cr,
Nim,nim|nims|nimble,
APL,apl|dyalog,
Unity,unity|unityweb|unitypackage,
Apex,apex,
Android,aidl,
Config,conf|cfg|config|properties|prefs|settings|env|dist,
Markdown,md|markdown|mkd,
Haml,haml,
Slim,slim,
Jade,jade,
xaml,xaml,
jsp,jsp,
graphql,graphql,
Batch,bat|cmd,
Vue,vue,
Gradle,gradle,
NuGet,nupkg|nuspec,
Verilog,v,
TLA,tla,
Handlebars,handlebars,
spec,spec,
SPSS,spv|sav,
